Customer_Number,Attrition_Flag,Age,Date_of_birth,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
3708180633,Attrited Customer,38,3/23/1986,M,2,Graduate,Married,$60K - $80K,Blue,36,2,3,2,1438.30,0,1438.30,0.461,1651,42,0.500,0.000
3708181983,Existing Customer,33,1/24/1991,F,3,Post-Graduate,Married,$40K - $60K,Blue,28,5,2,3,1864.00,1081,783.00,1.416,2607,44,1.750,0.580
3708183558,Existing Customer,26,4/13/1998,F,1,Unknown,Single,$40K - $60K,Blue,14,4,2,4,5645.00,2324,3321.00,0.655,2482,57,0.727,0.412
3708184833,Existing Customer,38,1/12/1986,M,4,Graduate,Married,$40K - $60K,Blue,27,6,2,4,5535.00,1276,4259.00,0.636,1764,38,0.900,0.231
3708186333,Existing Customer,48,5/14/1976,F,1,Graduate,Married,$40K - $60K,Blue,36,4,4,1,7268.00,0,7268.00,0.691,4199,80,0.905,0.000
3708187458,Existing Customer,51,8/23/1973,F,2,High School,Married,Less than $40K,Silver,36,5,3,0,11261.00,2485,8776.00,0.736,1158,26,0.857,0.221
3708188733,Existing Customer,31,1/1/1993,F,0,Graduate,Married,Unknown,Blue,36,4,2,2,2488.00,0,2488.00,1.050,4226,73,0.521,0.000
3708195333,Existing Customer,27,1/12/1997,M,0,Graduate,Single,$40K - $60K,Blue,16,4,1,2,3178.00,1118,2060.00,0.643,2010,31,0.550,0.352
3708197058,Attrited Customer,33,2/23/1991,M,1,Graduate,Single,$60K - $80K,Blue,36,4,3,2,1819.00,725,1094.00,0.737,2254,45,0.406,0.399
3708200283,Attrited Customer,38,7/19/1986,F,3,High School,Single,Less than $40K,Blue,26,2,3,0,2920.00,2426,494.00,0.983,2750,41,0.367,0.831
3708203133,Existing Customer,41,6/22/1983,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,3,4,14480.00,0,14480.00,0.703,1616,43,0.654,0.000
3708205758,Existing Customer,40,4/28/1984,M,2,High School,Unknown,$80K - $120K,Silver,32,5,2,3,34516.00,1182,33334.00,0.613,2440,54,0.543,0.034
3708207483,Attrited Customer,57,5/31/1967,M,2,Uneducated,Unknown,$80K - $120K,Blue,48,4,1,3,30543.00,264,30279.00,0.882,7784,63,0.703,0.009
3708214158,Existing Customer,36,7/23/1988,F,5,Unknown,Single,Less than $40K,Blue,24,3,1,1,2980.00,2093,887.00,0.522,4132,70,0.667,0.702
3708215208,Existing Customer,38,1/1/1986,F,1,High School,Married,Less than $40K,Blue,28,6,4,3,1438.30,0,1438.30,0.767,4815,81,0.653,0.000
3708217908,Existing Customer,50,6/15/1974,F,3,High School,Single,Less than $40K,Blue,42,1,3,2,1477.00,0,1477.00,0.685,4680,80,0.778,0.000
3708218883,Existing Customer,53,8/18/1971,M,1,Graduate,Single,$80K - $120K,Blue,45,6,3,2,1826.00,883,943.00,0.953,2199,48,1.000,0.484
3708221508,Existing Customer,35,7/29/1989,F,3,Graduate,Single,Less than $40K,Blue,27,3,3,3,2664.00,0,2664.00,0.731,3906,74,0.574,0.000
3708222783,Existing Customer,38,1/12/1986,F,3,Graduate,Married,Less than $40K,Blue,18,6,3,2,2193.00,1260,933.00,0.886,1799,47,0.567,0.575
3708222783,Existing Customer,38,1/12/1986,F,3,Graduate,Married,Less than $40K,Blue,18,6,3,2,2193.00,1260,933.00,0.886,1799,47,0.567,0.575
3708225493,Existing Customer,34,3/28/1990,F,2,Graduate,Single,$40K - $60K,N/A,23,4,2,2,7594.00,1442,6152.00,0.753,15026,99,0.678,0.190
3708226233,Existing Customer,56,2/24/1968,F,1,College,Married,$40K - $60K,Blue,44,5,1,4,4088.00,1557,2531.00,1.248,2250,39,0.857,0.381
3708227883,Existing Customer,63,1/31/1961,M,2,Graduate,Married,$60K - $80K,Blue,49,5,2,3,14035.00,2061,11974.00,2.271,1606,30,1.500,0.147
3708229233,Existing Customer,49,8/15/1975,M,3,College,Divorced,$80K - $120K,Blue,38,2,3,3,9959.00,1143,8816.00,0.661,7300,77,0.638,0.115
3708229983,Existing Customer,39,3/8/1985,M,2,Graduate,Single,$40K - $60K,Blue,26,6,3,2,6423.00,0,6423.00,1.051,4295,70,0.795,0.000
3708232683,Existing Customer,37,8/23/1987,F,2,Post-Graduate,Married,Less than $40K,Blue,36,6,2,3,2310.00,1513,797.00,0.682,4191,77,0.833,0.655
3708233508,Attrited Customer,47,3/8/1977,F,3,High School,Married,Unknown,Blue,39,6,3,4,11410.00,979,10431.00,1.049,2736,38,0.462,0.086
3708234258,Existing Customer,61,8/24/1963,M,0,Uneducated,Single,$40K - $60K,Blue,49,1,2,3,2228.00,1480,748.00,0.533,4431,71,0.651,0.664
3708235608,Existing Customer,47,1/16/1977,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,4,11242.00,1561,9681.00,0.829,4246,81,0.800,0.139
3708236958,Existing Customer,53,1/27/1971,M,1,High School,Married,$120K +,Gold,44,1,6,3,34516.00,831,33685.00,0.727,13247,107,0.754,0.024
3708239433,Attrited Customer,49,6/13/1975,F,2,Unknown,Married,Less than $40K,Blue,41,5,2,2,3243.00,0,3243.00,0.685,6059,71,0.821,0.000
3708241308,Existing Customer,30,8/20/1994,M,1,Uneducated,Divorced,Unknown,Blue,22,5,3,4,12539.00,910,11629.00,0.856,2643,72,0.674,0.073
3708244683,Existing Customer,55,2/21/1969,F,2,College,Divorced,Less than $40K,Blue,43,5,2,1,2239.00,1340,899.00,0.658,4540,73,0.587,0.598
3708248958,Existing Customer,57,5/28/1967,F,3,High School,Married,Less than $40K,Blue,36,6,2,3,3032.00,2215,817.00,0.408,1387,30,0.579,0.731
3708248975,Existing Customer,45,4/6/1979,N/A,3,High School,Married,Less than $40K,Blue,37,4,1,3,2104.00,1267,837.00,0.677,1732,35,1.059,0.602
3708251358,Attrited Customer,52,2/10/1972,F,3,Post-Graduate,Single,Less than $40K,Blue,47,3,3,2,2972.00,0,2972.00,1.035,922,25,0.562,0.000
3708252408,Existing Customer,29,4/8/1995,M,1,College,Single,$60K - $80K,Blue,36,5,3,2,5346.00,0,5346.00,0.928,3253,80,0.818,0.000
3708253608,Existing Customer,53,8/7/1971,M,3,College,Married,$120K +,Blue,43,4,2,5,14938.00,1155,13783.00,0.995,2248,51,0.645,0.077
3708254583,Existing Customer,47,1/19/1977,F,2,Unknown,Married,Less than $40K,Blue,35,3,3,2,2793.00,1517,1276.00,0.712,3485,72,0.895,0.543
3708255933,Existing Customer,35,7/7/1989,M,3,Graduate,Married,$60K - $80K,Blue,36,4,1,4,19671.00,924,18747.00,0.820,13908,124,0.676,0.047
3708258483,Existing Customer,42,8/13/1982,M,4,Graduate,Unknown,$60K - $80K,Silver,30,3,1,3,29937.00,0,29937.00,0.746,14863,109,0.627,0.000
3708259833,Existing Customer,48,4/1/1976,F,1,Doctorate,Married,Less than $40K,Blue,39,3,3,3,4844.00,1576,3268.00,0.809,1489,48,0.600,0.325
3708262233,Existing Customer,64,4/27/1960,M,0,College,Single,$40K - $60K,Blue,53,6,3,2,7362.00,1907,5455.00,0.693,4065,65,0.711,0.259
3708263583,Existing Customer,59,3/14/1965,F,1,Unknown,Single,Unknown,Blue,48,4,2,3,5528.00,1823,3705.00,0.731,4857,81,0.723,0.330
3708264858,Existing Customer,41,4/10/1983,F,4,Post-Graduate,Single,Less than $40K,Blue,36,5,4,1,2968.00,1873,1095.00,1.110,5171,85,0.889,0.631
3708265758,Existing Customer,36,2/27/1988,M,1,Graduate,Single,$80K - $120K,Blue,27,3,2,4,3761.00,1710,2051.00,0.627,3240,65,0.585,0.455
3708270333,Existing Customer,43,6/11/1981,F,5,Uneducated,Single,Less than $40K,Blue,36,4,3,2,2057.00,1279,778.00,0.562,4321,76,0.689,0.622
3708277008,Attrited Customer,34,3/13/1990,F,2,Graduate,Single,Less than $40K,Blue,36,1,2,3,1666.00,0,1666.00,0.713,2312,35,0.250,0.000
3708277983,Existing Customer,65,7/23/1959,F,0,High School,Married,$40K - $60K,Blue,36,5,2,3,6088.00,2145,3943.00,1.371,2098,52,0.733,0.352
3708279708,Existing Customer,42,4/16/1982,F,3,Uneducated,Divorced,Less than $40K,Blue,28,6,2,4,2029.00,1377,652.00,0.838,4014,86,0.686,0.679
3708281958,Existing Customer,42,6/4/1982,M,3,Graduate,Single,$40K - $60K,Silver,36,3,2,3,15069.00,1843,13226.00,0.840,3464,67,0.558,0.122
3708282933,Existing Customer,45,8/13/1979,M,5,Graduate,Single,Less than $40K,Blue,36,4,2,1,2718.00,1474,1244.00,0.710,3542,59,0.639,0.542
3708283983,Existing Customer,40,5/14/1984,M,3,Graduate,Divorced,$120K +,Blue,30,3,2,1,34516.00,0,34516.00,0.643,3734,80,0.860,0.000
3708286308,Attrited Customer,52,4/30/1972,F,3,Post-Graduate,Married,Less than $40K,Blue,45,2,4,1,1760.00,0,1760.00,0.046,1554,35,0.029,0.000
3708291558,Existing Customer,57,2/11/1967,F,2,Graduate,Married,Less than $40K,Blue,36,5,1,3,1438.30,0,1438.30,0.565,3848,75,0.705,0.000
3708295233,Existing Customer,42,4/26/1982,M,4,Graduate,Single,$40K - $60K,Blue,36,1,1,2,6128.00,2239,3889.00,0.768,13505,116,0.681,0.365
3708296808,Existing Customer,57,6/12/1967,M,2,Uneducated,Single,$80K - $120K,Blue,43,6,3,1,12045.00,1749,10296.00,0.736,4884,86,0.870,0.145
3708298233,Attrited Customer,43,6/18/1981,M,4,Post-Graduate,Unknown,$80K - $120K,Blue,30,2,5,3,5639.00,1547,4092.00,1.087,647,15,0.364,0.274
3708300333,Existing Customer,43,8/15/1981,F,3,High School,Married,Less than $40K,Silver,31,3,3,4,13608.00,1190,12418.00,0.553,3118,76,0.767,0.087
3708301758,Existing Customer,33,7/19/1991,F,2,Doctorate,Unknown,Unknown,Blue,21,3,3,3,4651.00,2499,2152.00,0.766,5097,79,0.795,0.537
3708302958,Existing Customer,35,2/25/1989,M,2,High School,Single,$120K +,Blue,36,4,2,3,27389.00,1250,26139.00,0.641,2754,60,0.463,0.046
3708305658,Existing Customer,65,5/3/1959,F,0,Post-Graduate,Married,Less than $40K,Blue,56,5,3,2,3549.00,1880,1669.00,0.624,1215,22,0.571,0.530
3708307008,Existing Customer,44,4/29/1980,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.00,788,10961.00,0.688,1178,27,0.929,0.067
3708308358,Attrited Customer,49,5/12/1975,F,3,Graduate,Married,Less than $40K,Blue,37,4,2,1,6184.00,0,6184.00,0.476,1756,49,0.324,0.000
3708310608,Attrited Customer,66,7/14/1958,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.00,605,7277.00,1.052,704,16,0.143,0.077
3708311808,Attrited Customer,40,8/15/1984,M,2,Uneducated,Married,$80K - $120K,Blue,30,6,2,3,20798.00,1059,19739.00,1.049,8038,90,0.837,0.051
3708313233,Existing Customer,50,1/22/1974,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,0,1770.00,1706,64.00,0.626,4940,94,0.774,0.964
3708313233,Existing Customer,50,1/22/1974,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,0,1770.00,1706,64.00,0.626,4940,94,0.774,0.964
3708317658,Existing Customer,42,6/17/1982,M,2,Uneducated,Married,$60K - $80K,Blue,30,1,2,3,3086.00,0,3086.00,0.808,4129,81,0.884,0.000
3708323733,Existing Customer,53,5/17/1971,M,3,Unknown,Married,$80K - $120K,Blue,43,5,3,0,2464.00,2116,348.00,0.744,2110,43,1.048,0.859
3708324933,Existing Customer,53,5/7/1971,F,2,College,Married,Unknown,Blue,41,5,1,3,5659.00,1393,4266.00,0.436,1570,40,0.600,0.246
3708326133,Attrited Customer,59,6/10/1965,F,1,Graduate,Single,Unknown,Blue,36,3,2,3,10031.00,0,10031.00,0.238,1792,29,0.074,0.000
3708330033,Attrited Customer,37,5/21/1987,M,3,Graduate,Single,$80K - $120K,Blue,17,1,1,2,4116.00,1473,2643.00,1.023,8667,70,0.892,0.358
3708333333,Attrited Customer,49,5/11/1975,F,3,Uneducated,Married,Less than $40K,Blue,36,4,2,4,1522.00,0,1522.00,0.482,2241,36,0.800,0.000
3708334608,Existing Customer,47,3/21/1977,F,4,Unknown,Single,Less than $40K,Blue,39,3,3,4,1548.00,0,1548.00,0.664,4420,71,0.775,0.000
3708340983,Attrited Customer,57,3/12/1967,M,3,Graduate,Married,$120K +,Blue,38,2,3,3,8249.00,1381,6868.00,0.798,678,11,0.833,0.167
3708341883,Existing Customer,47,6/13/1977,F,2,Uneducated,Divorced,Unknown,Silver,35,3,1,4,32444.00,1843,30601.00,1.127,3725,60,0.622,0.057
3708342933,Existing Customer,47,5/27/1977,M,2,Uneducated,Married,$40K - $60K,Blue,39,2,2,2,3471.00,0,3471.00,0.871,14381,115,0.742,0.000
3708343693,,35,6/14/1989,M,1,Unknown,Single,$60K - $80K,Blue,25,6,3,2,6053.00,2001,4052.00,0.743,2208,59,0.595,0.331
3708344283,Existing Customer,46,8/19/1978,F,3,Graduate,Divorced,Less than $40K,Blue,34,4,2,4,9863.00,686,9177.00,0.581,3068,58,0.933,0.070
3708347808,Existing Customer,51,8/22/1973,M,2,Uneducated,Single,$60K - $80K,Blue,40,4,2,2,21800.00,893,20907.00,0.445,3820,62,0.676,0.041
3708349083,Existing Customer,58,2/23/1966,F,1,Graduate,Single,Less than $40K,Blue,36,5,1,1,3173.00,1713,1460.00,0.609,3797,75,0.786,0.540
3708349561,,38,2/20/1986,F,1,High School,Single,$40K - $60K,Blue,36,1,2,3,2148.00,1103,1045.00,0.602,4711,64,0.882,0.514
3708350883,Attrited Customer,41,6/17/1983,M,4,High School,Married,Less than $40K,Blue,32,2,3,3,7769.00,0,7769.00,0.943,8109,74,0.762,0.000
3708352083,Existing Customer,31,6/15/1993,F,1,College,Divorced,Less than $40K,Blue,21,2,2,3,2061.00,1904,157.00,0.786,4480,86,0.870,0.924
3708352083,Existing Customer,31,6/15/1993,F,1,College,Divorced,Less than $40K,Blue,21,2,2,3,2061.00,1904,157.00,0.786,4480,86,0.870,0.924
3708354483,Existing Customer,53,1/29/1971,F,3,High School,Married,Unknown,Blue,45,5,1,3,2495.00,1354,1141.00,0.623,1311,31,0.476,0.543
3708357708,Existing Customer,37,5/9/1987,F,4,Uneducated,Married,Less than $40K,Blue,36,4,1,4,2509.00,1144,1365.00,0.692,1804,38,0.583,0.456
3708359440,Attrited Customer,41,1/4/1983,N/A,2,College,Married,$80K - $120K,Blue,33,2,3,3,14682.00,2517,12165.00,1.041,8193,72,0.846,0.171
3708364983,Attrited Customer,51,6/27/1973,M,2,Unknown,Single,$120K +,Blue,42,2,4,2,14938.00,0,14938.00,0.758,8192,80,0.778,0.000
3708365808,Existing Customer,46,7/13/1978,F,4,Graduate,Married,Unknown,Blue,38,3,2,3,16815.00,0,16815.00,0.938,2976,65,0.512,0.000
3708367308,Existing Customer,47,6/26/1977,F,3,Unknown,Single,Less than $40K,Blue,38,4,2,3,1438.30,0,1438.30,1.001,3511,64,0.882,0.000
3708368808,Existing Customer,46,4/19/1978,M,2,Graduate,Married,$80K - $120K,Silver,35,6,3,2,34516.00,1236,33280.00,0.549,1665,40,0.667,0.036
3708370233,Existing Customer,50,3/10/1974,M,1,College,Single,$40K - $60K,Blue,41,3,1,1,2800.00,1338,1462.00,0.818,4869,90,0.800,0.478
3708371958,Existing Customer,44,7/13/1980,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,3,19430.00,0,19430.00,1.012,3650,80,0.633,0.000
3708378033,Existing Customer,56,7/8/1968,F,1,Uneducated,Married,Less than $40K,Blue,47,6,1,2,3022.00,1627,1395.00,0.835,4390,82,0.783,0.538
3708379758,Attrited Customer,34,2/14/1990,F,3,Graduate,Married,Less than $40K,Gold,36,6,3,2,15487.00,1847,13640.00,0.943,7031,67,0.811,0.119
3708380189,Attrited Customer,50,7/20/1974,F,1,Unknown,Single,Unknown,Blue,39,6,3,3,0.00,0,9248.00,0.613,2325,45,0.552,0.000
3708381858,Existing Customer,41,4/4/1983,F,3,High School,Married,Less than $40K,Blue,15,1,1,2,4662.00,0,4662.00,0.661,4931,81,0.841,0.000
3708383208,Attrited Customer,40,3/15/1984,F,4,Unknown,Married,$40K - $60K,Blue,30,1,3,4,3356.00,2517,839.00,0.583,2032,39,0.147,0.750
3708385983,Existing Customer,47,7/6/1977,F,4,High School,Divorced,Less than $40K,Blue,36,5,4,2,2776.00,1341,1435.00,0.744,4318,68,0.943,0.483
3708387108,Attrited Customer,58,4/29/1966,F,1,Unknown,Single,Unknown,Blue,50,5,2,2,8513.00,799,7714.00,0.451,2119,37,0.542,0.094
3708387503,Existing Customer,54,4/22/1970,M,3,Graduate,Married,$120K +,Blue,44,2,1,3,0.00,862,33654.00,0.815,15034,111,0.762,0.025
3708388233,Existing Customer,39,4/27/1985,F,1,Post-Graduate,Married,$40K - $60K,Blue,36,5,3,2,2147.00,771,1376.00,0.690,4631,76,0.767,0.359
3708392208,Existing Customer,49,6/14/1975,M,5,High School,Married,$80K - $120K,Blue,36,6,2,2,2292.00,0,2292.00,0.976,2584,60,0.500,0.000
3708394158,Attrited Customer,45,1/30/1979,F,3,Uneducated,Married,Less than $40K,Blue,35,3,3,3,2745.00,2463,282.00,0.643,2466,39,0.345,0.897
3708394158,Attrited Customer,45,1/30/1979,F,3,Uneducated,Married,Less than $40K,Blue,35,3,3,3,2745.00,2463,282.00,0.643,2466,39,0.345,0.897
3708395658,Attrited Customer,49,2/12/1975,F,1,Graduate,Married,Less than $40K,Silver,36,2,3,3,11059.00,0,11059.00,0.990,9524,80,0.905,0.000
3708397083,Attrited Customer,47,4/1/1977,F,3,Unknown,Married,Less than $40K,Blue,34,3,3,2,1561.00,0,1561.00,0.502,1947,28,0.556,0.000
3708398058,Existing Customer,49,7/9/1975,F,2,Post-Graduate,Married,Less than $40K,Blue,37,2,1,2,5500.00,0,5500.00,0.675,14357,110,0.618,0.000
3708400758,Existing Customer,52,3/7/1972,F,3,Graduate,Married,Less than $40K,Blue,44,5,5,3,2421.00,2312,109.00,0.674,4219,69,0.605,0.955
3708400758,Existing Customer,52,3/7/1972,F,3,Graduate,Married,Less than $40K,Blue,44,5,5,3,2421.00,2312,109.00,0.674,4219,69,0.605,0.955
3708403758,Existing Customer,41,7/10/1983,F,0,High School,Married,Less than $40K,Blue,31,4,2,4,2685.00,1647,1038.00,0.812,4625,94,0.516,0.613
3708405033,Existing Customer,44,5/5/1980,M,0,High School,Single,$40K - $60K,Blue,33,5,1,3,2337.00,1442,895.00,0.659,3945,65,0.548,0.617
3708406158,Existing Customer,45,1/20/1979,F,2,Uneducated,Married,Less than $40K,Blue,27,1,2,2,2490.00,1059,1431.00,0.715,12257,101,0.772,0.425
3708407133,Existing Customer,54,5/24/1970,F,4,Graduate,Married,Unknown,Blue,43,3,2,3,3805.00,821,2984.00,0.807,4326,67,0.811,0.216
3708408408,Existing Customer,37,1/27/1987,F,1,Graduate,Married,$40K - $60K,Blue,29,5,2,2,4394.00,885,3509.00,1.040,1377,32,0.684,0.201
3708409983,Existing Customer,45,5/26/1979,F,3,High School,Married,Less than $40K,Blue,35,2,2,1,2548.00,2250,298.00,0.581,4747,77,0.791,0.883
3708409983,Existing Customer,45,5/26/1979,F,3,High School,Married,Less than $40K,Blue,35,2,2,1,2548.00,2250,298.00,0.581,4747,77,0.791,0.883
3708412458,Existing Customer,48,1/27/1976,F,2,Doctorate,Divorced,Unknown,Blue,37,6,2,0,4549.00,1313,3236.00,0.777,4782,88,0.660,0.289
3708413433,Existing Customer,37,8/10/1987,M,3,Unknown,Single,$40K - $60K,Silver,24,3,1,3,15133.00,1663,13470.00,0.646,4392,68,0.511,0.110
3708415008,Existing Customer,45,4/27/1979,F,2,High School,Single,Unknown,Blue,37,4,2,4,27804.00,0,27804.00,1.301,2761,57,0.966,0.000
3708415403,Attrited Customer,52,10/1/1999,F,3,Post-Graduate,Single,Less than $40K,Blue,47,3,3,2,2972.00,0,2972.00,1.035,922,25,0.562,0.000
3708416208,Existing Customer,35,1/8/1989,F,0,Unknown,Married,Less than $40K,Blue,24,5,3,1,3436.00,2493,943.00,0.824,5211,90,0.765,0.726
3708422883,Attrited Customer,33,7/9/1991,F,3,Graduate,Single,Less than $40K,Blue,36,5,2,3,1457.00,0,1457.00,0.677,2200,45,0.364,0.000
3708424158,Existing Customer,50,6/20/1974,M,4,Graduate,Married,$40K - $60K,Blue,38,6,3,3,2845.00,1153,1692.00,0.836,3730,66,0.941,0.405
